,0,yeong,,jennifer,,yoobin,,changhyun,,TRUE,0-1 label,jennifer-yeong,yoobin-yeong,yoobin-jennifer,changhyun-yeong,changhyun-jennifer,changhyun-yoobin,changhyun-yoobin-yeong,Everyone got correct,at least 3 ppl got correct,majority answer,GPT2 Result,GPT2 correctness,True value where GPT was wrong and majority of us were correct,,,,,
29,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
30,Good. do you think you could send me some pix? I would love to see your top and bottom...,0,1,0,1,0,1,1,0,ham,0,1,1,1,0,0,0,0,0,1,0,0,1,FALSE,,,,,
31,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
32,Gudnite....tc...practice going on,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
33,Thank you baby! I cant wait to taste the real thing...,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
34,Boooo you always work. Just quit.,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
35,Now only i reached home. . . I am very tired now. . I will come tomorro,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
36,Yes I know the cheesy songs from frosty the snowman :),0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
37,Thanks  and ! Or bomb and date as my phone wanted to say! ,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
38,Ok. But i finish at 6.,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
39,Already one guy loving you:-.,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
40,"Garbage bags, eggs, jam, bread, hannaford wheat chex",0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
41,Ok i've sent u da latest version of da project.,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
42,Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
43,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1,1,1,1,1,1,1,1,spam,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,,,,,
44,Hope you are having a great day.,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
45,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
46,Pls confirm the time to collect the cheque.,0,1,1,0,0,1,1,0,ham,0,0,1,0,0,1,0,0,0,0,majority got incorrect,0,1,FALSE,,,,,
47,Just send a text. We'll skype later.,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
48,You still at the game?,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
49,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
50,Will it help if we propose going back again tomorrow,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
51,Hello which the site to download songs its urgent pls,0,1,1,0,0,1,1,0,ham,0,0,1,0,0,1,0,0,0,0,majority got incorrect,0,1,FALSE,,,,,
52,Yes :)it completely in out of form:)clark also utter waste.,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
53,Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324,1,1,1,1,1,1,1,1,spam,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,,,,,
54,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!",0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
55,Love you aathi..love u lot..,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
56,Ugh my leg hurts. Musta overdid it on mon.,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
57,Eh u send wrongly lar...,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
58,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0,1,1,0,1,0,1,0,ham,0,0,0,1,0,1,1,0,0,0,majority got incorrect,0,1,FALSE,,,,,
59,;-) ok. I feel like john lennon.,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
60,I fetch yun or u fetch?,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
61,Hey u still at the gym?,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
62,What you doing?how are you?,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
63,Yo guess what I just dropped,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
64,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,1,1,1,1,1,1,1,1,spam,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,,,,,
65,Good Morning plz call me sir,0,1,1,0,0,1,1,0,ham,0,0,1,0,0,1,0,0,0,0,majority got incorrect,0,1,FALSE,,,,,
66,I hope your pee burns tonite.,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
67,Carlos says we can pick up from him later so yeah we're set,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
68,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :),0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
69,Are you up for the challenge? I know i am :),0,1,1,0,0,1,1,0,ham,0,0,1,0,0,1,0,0,0,0,majority got incorrect,0,1,FALSE,,,,,
70,Many more happy returns of the day. I wish you happy birthday.,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
71,I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.,0,1,1,0,0,1,1,0,ham,0,0,1,0,0,1,0,0,0,0,majority got incorrect,0,1,FALSE,,,,,
72,May i call You later Pls,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
73,Yeah right! I'll bring my tape measure fri!,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
74,I could ask carlos if we could get more if anybody else can chip in,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
75,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
76,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
77,Ha... U jus ate honey ar? So sweet...,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
78,Just finished. Missing you plenty,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
79,I think the other two still need to get cash but we can def be ready by 9,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
80,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,1,1,1,1,1,1,1,1,spam,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,,,,,
81,Argh why the fuck is nobody in town ;_;,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
82,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
83,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),0,1,1,0,0,1,1,0,ham,0,0,1,0,0,1,0,0,0,0,majority got incorrect,0,1,FALSE,,,,,
84,No. But we'll do medical missions to nigeria,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
85,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
86,You call him now ok i said call him,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
87,"Usf I guess, might as well take 1 car",0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
88,Wa... U so efficient... Gee... Thanx...,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
89,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
90,Jordan got voted out last nite!,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
91,"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna",0,1,1,0,1,0,1,0,ham,0,0,0,1,0,1,1,0,0,0,majority got incorrect,0,1,FALSE,,,,,
92,Er mw im filled tuth is aight,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
93,"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)",0,0,1,1,1,1,1,1,spam,1,0,0,1,0,1,1,0,0,1,1,1,1,FALSE,,,,,
94,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0,1,1,0,0,1,1,0,ham,0,0,1,0,0,1,0,0,0,0,majority got incorrect,0,1,FALSE,,,,,
95,Actually i'm waiting for 2 weeks when they start putting ad.,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
96,"Cool, text me when you head out",0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
97,Hmm .. Bits and pieces lol ... *sighs* ...,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
98,"We're all getting worried over here, derek and taylor have already assumed the worst",0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
99,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
100,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
101,I wil be there with in  &lt;#&gt;  minutes. Got any space,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
102,Was the farm open?,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
103,Oh k...i'm watching here:),0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
104,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
105,What happen dear tell me,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
106,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
107,Thats cool. How was your day?,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
108,Ok. Me watching tv too.,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
109,Jus finish bathing...,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
110,"Sir, I am waiting for your mail.",0,1,1,0,0,1,1,0,ham,0,0,1,0,0,1,0,0,0,0,majority got incorrect,0,1,FALSE,,,,,
111,Tmrw. Im finishing 9 doors,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
112,Were somewhere on Fredericksburg,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
113,Happy new year to u too!,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
114,My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:),0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
115,Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
116,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,1,1,1,1,1,1,1,1,spam,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,,,,,
117,I wont do anything de.,0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
118,You have 1 new voicemail. Please call 08719181503,0,0,1,1,1,1,1,1,spam,1,0,0,1,0,1,1,0,0,1,1,1,1,FALSE,,,,,
119,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..,0,1,1,0,1,0,0,1,ham,0,0,0,1,1,0,0,1,0,0,majority got incorrect,0,1,FALSE,,,,,
120,U reach orchard already? U wan 2 go buy tickets first?,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
121,I know a few people I can hit up and fuck to the yes,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
122,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,1,0,1,0,1,0,1,0,ham,0,1,1,1,1,1,1,1,0,0,majority got incorrect,0,1,FALSE,,,,,
123,:-( that's not v romantic!,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
124,Pls pls find out from aunt nike.,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
125,Went to pay rent. So i had to go to the bank to authorise the payment.,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
126,Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
127,Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
128,Ok i vl..do u know i got adsense approved..,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
129,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",1,1,1,1,1,1,1,1,spam,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,,,,,
130,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",0,1,1,0,0,1,1,0,ham,0,0,1,0,0,1,0,0,0,0,majority got incorrect,0,1,FALSE,,,,,
131,"What's up bruv, hope you had a great break. Do have a rewarding semester.",0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
132,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,1,1,1,1,1,1,1,1,spam,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,,,,,
133,"It wont b until 2.15 as trying 2 sort house out, is that ok?",0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
134,"Sorry, got a late start, we're on the way",0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
135,I'm going out to buy mum's present ar.,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
136,Ok...,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
137,Yeah sure I'll leave in a min,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
138,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...",0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
139,K. Did you call me just now ah? ,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
140,"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs! ",0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
141,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,0,1,0,1,0,1,1,0,ham,0,1,1,1,0,0,0,0,0,1,0,0,1,FALSE,,,,,
142,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,1,0,0,,,,,
143,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
144,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...",0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
145,O. Well uv causes mutations. Sunscreen is like essential thesedays,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
146,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",0,1,1,0,0,1,0,1,ham,0,0,1,0,1,0,1,1,0,1,0,0,1,FALSE,,,,,
147,Uncle Abbey! Happy New Year. Abiola,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
148,"Aight, I'm chillin in a friend's room so text me when you're on the way",0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
149,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,0,1,1,0,1,0,1,0,ham,0,0,0,1,0,1,1,0,0,0,majority got incorrect,0,1,FALSE,,,,,
150,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!",0,1,1,0,1,0,1,0,ham,0,0,0,1,0,1,1,0,0,0,majority got incorrect,0,1,FALSE,,,,,
151,Kinda. First one gets in at twelve! Aah. Speak tomo,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
152,Are u awake? Is there snow there?,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
153,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;),0,1,0,1,1,0,0,1,ham,0,1,0,0,1,1,0,1,0,1,0,0,1,FALSE,,,,,
154,Try neva mate!!,0,1,1,0,1,0,0,1,ham,0,0,0,1,1,0,0,1,0,0,majority got incorrect,0,1,FALSE,,,,,
155,Serious? What like proper tongued her,0,1,0,1,0,1,0,1,ham,0,1,1,1,1,1,1,1,1,1,0,0,1,FALSE,,,,,
